Timestamp,d_laser_x,d_laser_z,laser_x,laser_z,X,Y,Z,Yaw,Roll,Pitch,X_aligned,Z_aligned,Error,High_Error_Flag
1740983154.753,2.568,4.071,0.799,0.297,-0.601,-1.1909,-4.5815,33.5212,0.2344,90.954,0.7860804521422806,0.09210108772964842,0.1648249866799594,1
1740983154.832,2.563,4.071,0.794,0.297,-0.6011,-1.191,-4.5815,33.5186,0.2278,90.9678,0.7859951344659732,0.09215324992006879,0.16478978183800957,1
1740983154.912,2.563,4.071,0.794,0.297,-0.6012,-1.1909,-4.5812,33.5212,0.2214,90.9703,0.7860663033609279,0.09246136513940995,0.16447377949199435,1
1740983154.992,2.563,4.071,0.794,0.297,-0.6011,-1.1908,-4.5812,33.5163,0.2212,90.9697,0.7861516210372352,0.09240920294898913,0.16450899117133788,1
1740983155.071,2.563,4.071,0.794,0.297,-0.6011,-1.1909,-4.5813,33.52,0.2256,90.9606,0.7860994588468149,0.09232388527268265,0.16460258052922613,1
1740983155.151,2.568,4.071,0.799,0.297,-0.6011,-1.1909,-4.5812,33.5221,0.2266,90.9674,0.7861516210372352,0.09240920294898913,0.16450899117133788,1
1740983155.231,2.563,4.072,0.794,0.296,-0.6011,-1.1909,-4.5812,33.5254,0.2279,90.9685,0.7861516210372352,0.09240920294898913,0.16450899117133788,1
1740983155.31,2.564,4.07,0.795,0.298,-0.6011,-1.1909,-4.5812,33.5217,0.2163,90.9809,0.7861516210372352,0.09240920294898913,0.16450899117133788,1
1740983155.39,2.564,4.07,0.795,0.298,-0.6011,-1.1909,-4.5814,33.5153,0.2191,90.978,0.7860472966563936,0.09223856759637528,0.16469617742239726,1
1740983155.47,2.568,4.07,0.799,0.298,-0.6009,-1.1909,-4.5813,33.5085,0.219,90.9759,0.7862700941994296,0.09221956089184147,0.1646731234553487,1
1740983155.549,2.563,4.071,0.794,0.297,-0.6011,-1.1909,-4.5814,33.5189,0.2228,90.9709,0.7860472966563936,0.09223856759637528,0.16469617742239726,1
1740983155.629,2.567,4.07,0.798,0.298,-0.6011,-1.1909,-4.5812,33.5174,0.2302,90.9702,0.7861516210372352,0.09240920294898913,0.16450899117133788,1
1740983155.708,2.569,4.073,0.8,0.295,-0.6011,-1.1908,-4.5815,33.5233,0.2244,90.9681,0.7859951344659732,0.09215324992006879,0.16478978183800957,1
1740983155.788,2.569,4.071,0.8,0.297,-0.601,-1.191,-4.5815,33.528,0.2126,90.9789,0.7860804521422806,0.09210108772964842,0.1648249866799594,1
1740983155.868,2.568,4.071,0.799,0.297,-0.6012,-1.1909,-4.5811,33.5331,0.2173,90.9683,0.7861184655513487,0.09254668281571643,0.1643801776362105,1
1740983155.947,2.568,4.071,0.799,0.297,-0.6011,-1.1909,-4.5814,33.5381,0.2195,90.9621,0.7860472966563936,0.09223856759637528,0.16469617742239726,1
1740983156.027,2.564,4.071,0.795,0.297,-0.6011,-1.1909,-4.5814,33.5388,0.2172,90.9601,0.7860472966563936,0.09223856759637528,0.16469617742239726,1
1740983156.107,2.563,4.073,0.794,0.295,-0.6011,-1.1909,-4.5815,33.5346,0.2158,90.9587,0.7859951344659732,0.09215324992006879,0.16478978183800957,1
1740983156.186,2.563,4.072,0.794,0.296,-0.6011,-1.191,-4.5815,33.5262,0.2059,90.9785,0.7859951344659732,0.09215324992006879,0.16478978183800957,1
1740983156.266,2.563,4.072,0.794,0.296,-0.601,-1.191,-4.5814,33.522,0.2031,90.9904,0.7861326143327014,0.09218640540595491,0.16473140226860125,1
1740983156.346,2.568,4.07,0.799,0.298,-0.6011,-1.1908,-4.5813,33.5323,0.2031,90.9886,0.7860994588468149,0.09232388527268265,0.16460258052922613,1
1740983156.425,2.563,4.071,0.794,0.297,-0.6011,-1.1908,-4.5813,33.5377,0.2009,90.9887,0.7860994588468149,0.09232388527268265,0.16460258052922613,1
1740983156.505,2.563,4.07,0.794,0.298,-0.6011,-1.1909,-4.5814,33.5312,0.2025,90.9922,0.7860472966563936,0.09223856759637528,0.16469617742239726,1
1740983156.585,2.563,4.072,0.794,0.296,-0.6011,-1.191,-4.5814,33.538,0.2003,91.0029,0.7860472966563936,0.09223856759637528,0.16469617742239726,1
1740983156.664,2.569,4.072,0.8,0.296,-0.601,-1.1909,-4.5815,33.532,0.2017,90.9914,0.7860804521422806,0.09210108772964842,0.1648249866799594,1
1740983156.744,2.568,4.071,0.799,0.297,-0.6013,-1.1909,-4.581,33.535,0.2118,90.9933,0.7860853100654617,0.09268416268244328,0.16425138484412566,1
1740983156.824,2.563,4.07,0.794,0.298,-0.6018,-1.1909,-4.5805,33.5517,0.2696,90.9289,0.785919532636028,0.09337156201608021,0.16360773374360055,1
1740983156.903,2.57,4.071,0.801,0.297,-0.6043,-1.191,-4.5762,33.4839,0.193,90.9225,0.7860295649164306,0.09834427685778246,0.15870687444528753,1
1740983217.353,2.587,4.039,0.817,0.331,-0.5885,-1.1916,-4.564,34.0006,0.5895,90.7075,0.8058735450043395,0.1005114072807527,0.1538913450968099,1
1740983217.433,2.584,4.054,0.813,0.317,-0.5826,-1.1922,-4.5734,34.1382,0.6742,90.6355,0.8060040420069354,0.089413976473109,0.16495293338579814,1
1740983217.513,2.584,4.054,0.813,0.317,-0.5768,-1.1907,-4.5819,34.2367,0.6311,90.7109,0.8065186810470104,0.0791365669426467,0.175177276687354,1
1740983217.592,2.59,4.066,0.819,0.305,-0.5714,-1.1903,-4.5902,34.2662,0.628,90.7073,0.8067963737626966,0.06923844152647973,0.1850430962720702,1
1740983217.672,2.586,4.08,0.815,0.292,-0.5654,-1.1903,-4.5988,34.3137,0.5779,90.7689,0.807429485964966,0.05877138993886977,0.1954630525835909,1
1740983217.752,2.592,4.096,0.82,0.276,-0.5602,-1.1899,-4.6069,34.3699,0.5585,90.7607,0.8076408677088782,0.04914822425615695,0.20506546121336106,1
1740983217.831,2.593,4.111,0.821,0.261,-0.5585,-1.1901,-4.61,34.3711,0.5958,90.702,0.8074742403030641,0.04561661905349945,0.20860099125483111,1
1740983217.911,2.593,4.111,0.822,0.261,-0.5586,-1.1903,-4.6098,34.3576,0.5886,90.7386,0.807493247007598,0.04583941659653368,0.20837755837740782,1
1740983217.99,2.588,4.117,0.817,0.255,-0.5587,-1.1905,-4.6095,34.3595,0.5769,90.7525,0.807564415902553,0.04614753181587483,0.20806652488445315,1
1740983218.07,2.593,4.118,0.821,0.254,-0.5591,-1.1902,-4.6089,34.3622,0.5637,90.7791,0.8075361183398466,0.046868086635396544,0.20734800358373112,1
