point_index,error,original_x,original_y,original_z,target_x,target_y,target_z,transformed_x,transformed_y,transformed_z,exceeds_threshold
2040,0.03182766092567921,1.1934,0,-3.1207,1.105,0,-2.089,1.083,0.0,-2.066,0
2041,0.03061045573002789,1.2173,0,-3.1338,1.075,0,-2.09,1.056,0.0,-2.066,0
2042,0.032526911934580904,1.2198,0,-3.1379,1.075,0,-2.086,1.052,0.0,-2.063,0
2043,0.02860069929215023,1.2203,0,-3.1395,1.067,0,-2.085,1.05,0.0,-2.062,0
2044,0.019723082923316326,1.2219,0,-3.141,1.058,0,-2.079,1.048,0.0,-2.062,0
2045,0.020124611797498373,1.2263,0,-3.1438,1.052,0,-2.079,1.043,0.0,-2.061,0
2046,0.030413812651491356,1.2368,0,-3.1488,1.054,0,-2.083,1.032,0.0,-2.062,0
2047,0.044384682042344394,1.2533,0,-3.1562,1.054,0,-2.08,1.013,0.0,-2.063,0
2048,0.05162363799656117,1.279,0,-3.1631,1.039,0,-2.077,0.988,0.0,-2.069,1
2049,0.05688585061331155,1.2958,0,-3.1718,1.025,0,-2.079,0.969,0.0,-2.069,1
2050,0.03383784863137733,1.3064,0,-3.1784,0.988,0,-2.079,0.956,0.0,-2.068,0
2051,0.031240998703626646,1.3134,0,-3.1821,0.968,0,-2.092,0.948,0.0,-2.068,0
2052,0.0353836120259083,1.3185,0,-3.1849,0.968,0,-2.092,0.942,0.0,-2.068,0
2053,0.029732137494636955,1.3244,0,-3.1877,0.958,0,-2.088,0.936,0.0,-2.068,0
2054,0.031112698372208196,1.3326,0,-3.1914,0.949,0,-2.091,0.927,0.0,-2.069,0
2055,0.03324154027718904,1.3427,0,-3.198,0.939,0,-2.09,0.915,0.0,-2.067,0
2056,0.031144823004794826,1.3498,0,-3.2018,0.93,0,-2.088,0.907,0.0,-2.067,0
2057,0.03612478373637692,1.3541,0,-3.2049,0.929,0,-2.091,0.902,0.0,-2.067,0
2058,0.033970575502926335,1.3597,0,-3.2081,0.918,0,-2.091,0.895,0.0,-2.066,0
2059,0.031064449134017975,1.37,0,-3.2132,0.901,0,-2.093,0.884,0.0,-2.067,0
2060,0.038209946349085484,1.3841,0,-3.2201,0.896,0,-2.093,0.868,0.0,-2.067,0
2061,0.031064449134018346,1.3963,0,-3.2233,0.882,0,-2.087,0.856,0.0,-2.07,0
2062,0.045694638635183575,1.4097,0,-3.23,0.883,0,-2.088,0.841,0.0,-2.07,0
2063,0.04081666326391708,1.4196,0,-3.2346,0.865,0,-2.092,0.83,0.0,-2.071,0
2064,0.03264965543462897,1.427,0,-3.2385,0.846,0,-2.092,0.821,0.0,-2.071,0
2065,0.029206163733020228,1.433,0,-3.2417,0.833,0,-2.094,0.815,0.0,-2.071,0
2066,0.0297321374946368,1.4397,0,-3.2451,0.827,0,-2.093,0.807,0.0,-2.071,0
2067,0.0364005494464024,1.4476,0,-3.2492,0.827,0,-2.093,0.798,0.0,-2.071,0
2068,0.04036087214122086,1.4571,0,-3.2543,0.817,0,-2.098,0.787,0.0,-2.071,0
2069,0.03889730067755325,1.4676,0,-3.2596,0.804,0,-2.098,0.776,0.0,-2.071,0
2070,0.03701351104664332,1.4787,0,-3.265,0.792,0,-2.094,0.763,0.0,-2.071,0
2071,0.03471310991541967,1.4894,0,-3.2699,0.778,0,-2.095,0.752,0.0,-2.072,0
2072,0.04338202392696781,1.4996,0,-3.2746,0.779,0,-2.092,0.74,0.0,-2.073,0
2073,0.03982461550347984,1.5094,0,-3.2794,0.764,0,-2.092,0.729,0.0,-2.073,0
2074,0.03623534186398707,1.5189,0,-3.2836,0.751,0,-2.091,0.719,0.0,-2.074,0
2075,0.03420526275297438,1.5278,0,-3.2878,0.736,0,-2.095,0.709,0.0,-2.074,0
2076,0.04548626166217686,1.5367,0,-3.2921,0.737,0,-2.099,0.699,0.0,-2.074,0
2077,0.042438190347845926,1.5458,0,-3.2964,0.724,0,-2.099,0.689,0.0,-2.075,0
2078,0.03944616584663198,1.5549,0,-3.301,0.713,0,-2.095,0.679,0.0,-2.075,0
2079,0.03551056180912917,1.5646,0,-3.3056,0.698,0,-2.094,0.668,0.0,-2.075,0
2080,0.03342154993413677,1.5753,0,-3.3103,0.683,0,-2.097,0.657,0.0,-2.076,0
2081,0.04429446918070019,1.5861,0,-3.3147,0.684,0,-2.098,0.645,0.0,-2.077,0
2082,0.04606517122512428,1.5965,0,-3.3193,0.675,0,-2.099,0.634,0.0,-2.078,0
2083,0.04118252056394804,1.6069,0,-3.3237,0.659,0,-2.099,0.623,0.0,-2.079,0
2084,0.03721558813185688,1.6168,0,-3.3278,0.644,0,-2.099,0.612,0.0,-2.08,0
2085,0.0333016516106936,1.6263,0,-3.3313,0.627,0,-2.103,0.602,0.0,-2.081,0
2086,0.04177319714841088,1.637,0,-3.3349,0.622,0,-2.111,0.591,0.0,-2.083,0
2087,0.04134005321718891,1.6477,0,-3.3382,0.602,0,-2.12,0.58,0.0,-2.085,0
2088,0.04022437072223748,1.6581,0,-3.3416,0.592,0,-2.12,0.569,0.0,-2.087,0
2089,0.041400483088968786,1.6676,0,-3.3459,0.583,0,-2.121,0.558,0.0,-2.088,0
2090,0.036069377593742666,1.6773,0,-3.351,0.573,0,-2.114,0.548,0.0,-2.088,0
2091,0.045803929962395164,1.6873,0,-3.356,0.573,0,-2.115,0.536,0.0,-2.088,0
2092,0.0412310562561765,1.6971,0,-3.3611,0.557,0,-2.114,0.525,0.0,-2.088,0
2093,0.04386342439892281,1.7062,0,-3.3653,0.547,0,-2.119,0.515,0.0,-2.089,0
2094,0.03969886648255862,1.7153,0,-3.3699,0.531,0,-2.119,0.505,0.0,-2.089,0
2095,0.034205262752973906,1.7209,0,-3.3752,0.519,0,-2.114,0.498,0.0,-2.087,0
2096,0.03687817782917158,1.7229,0,-3.3782,0.519,0,-2.113,0.495,0.0,-2.085,0
2097,0.028231188426986437,1.7235,0,-3.3782,0.505,0,-2.111,0.494,0.0,-2.085,0
2098,0.02340939982143948,1.724,0,-3.3783,0.501,0,-2.107,0.493,0.0,-2.085,0
2099,0.02507987240796903,1.7272,0,-3.3803,0.5,0,-2.108,0.49,0.0,-2.085,0
2100,0.022203603311174474,1.737,0,-3.3855,0.497,0,-2.098,0.479,0.0,-2.085,0
2101,0.045793012567421236,1.7544,0,-3.3976,0.497,0,-2.106,0.458,0.0,-2.082,0
2102,0.06440496875241848,1.7993,0,-3.4132,0.469,0,-2.117,0.411,0.0,-2.089,1
2103,0.03894868418830114,1.8172,0,-3.422,0.417,0,-2.119,0.391,0.0,-2.09,0
2104,0.039597979746446695,1.837,0,-3.4331,0.396,0,-2.117,0.368,0.0,-2.089,0
2105,0.03820994634908563,1.852,0,-3.443,0.376,0,-2.116,0.35,0.0,-2.088,0
2106,0.03101612483854157,1.8541,0,-3.4432,0.359,0,-2.117,0.348,0.0,-2.088,0
2107,0.026570660511172763,1.8565,0,-3.4452,0.354,0,-2.113,0.345,0.0,-2.088,0
2108,0.029732137494637018,1.8622,0,-3.4507,0.347,0,-2.114,0.337,0.0,-2.086,0
2109,0.040224370722237446,1.8753,0,-3.4589,0.345,0,-2.117,0.322,0.0,-2.084,0
2110,0.04522167621838011,1.8949,0,-3.4641,0.345,0,-2.103,0.302,0.0,-2.089,0
2111,0.05316013544000813,1.9123,0,-3.4703,0.335,0,-2.107,0.284,0.0,-2.092,1
2112,0.056400354608814166,1.9266,0,-3.4788,0.312,0,-2.125,0.267,0.0,-2.091,1
2113,0.04742362280551759,1.9354,0,-3.4842,0.289,0,-2.125,0.257,0.0,-2.09,0
2114,0.04743416490252575,1.9413,0,-3.4874,0.289,0,-2.117,0.25,0.0,-2.09,0
2115,0.05215361924162119,1.9463,0,-3.4896,0.289,0,-2.118,0.245,0.0,-2.09,1
2116,0.03584689665786997,1.9517,0,-3.4926,0.257,0,-2.121,0.239,0.0,-2.09,0
2117,0.039446165846632256,1.9595,0,-3.4964,0.25,0,-2.124,0.23,0.0,-2.09,0
2118,0.03940812099047608,1.9691,0,-3.501,0.242,0,-2.123,0.219,0.0,-2.091,0
2119,0.041048751503547434,1.9799,0,-3.5066,0.23,0,-2.125,0.207,0.0,-2.091,0
2120,0.04675467891024364,1.9907,0,-3.5123,0.23,0,-2.122,0.195,0.0,-2.091,0
2121,0.046690470119715034,2.0011,0,-3.5177,0.217,0,-2.123,0.183,0.0,-2.091,0
2122,0.041012193308819715,2.0107,0,-3.5227,0.202,0,-2.12,0.173,0.0,-2.091,0
2123,0.03687817782917156,2.0196,0,-3.5273,0.187,0,-2.119,0.163,0.0,-2.091,0
2124,0.03551056180912924,2.0281,0,-3.5316,0.172,0,-2.121,0.153,0.0,-2.091,0
2125,0.03894868418830076,2.0369,0,-3.5356,0.172,0,-2.118,0.143,0.0,-2.092,0
2126,0.040311288741492764,2.046,0,-3.5397,0.162,0,-2.12,0.133,0.0,-2.092,0
2127,0.031144823004794965,2.0538,0,-3.5434,0.146,0,-2.116,0.125,0.0,-2.093,0
2128,0.026419689627245932,2.0561,0,-3.5446,0.135,0,-2.116,0.122,0.0,-2.093,0
2129,0.02844292530665581,2.0553,0,-3.5441,0.128,0,-2.121,0.123,0.0,-2.093,0
2130,0.032388269481403324,2.0553,0,-3.5441,0.128,0,-2.125,0.123,0.0,-2.093,0
2131,0.028071337695236422,2.0552,0,-3.5441,0.125,0,-2.121,0.123,0.0,-2.093,0
2132,0.029068883707497183,2.0553,0,-3.5442,0.125,0,-2.122,0.123,0.0,-2.093,0
2133,0.030149626863362918,2.0553,0,-3.5441,0.126,0,-2.123,0.123,0.0,-2.093,0
2134,0.029068883707497183,2.0553,0,-3.5442,0.125,0,-2.122,0.123,0.0,-2.093,0
2135,0.030066592756746065,2.0553,0,-3.5441,0.125,0,-2.123,0.123,0.0,-2.093,0
2136,0.02927456233660881,2.0553,0,-3.5442,0.127,0,-2.122,0.123,0.0,-2.093,0
2137,0.029427877939124242,2.0553,0,-3.5442,0.128,0,-2.122,0.123,0.0,-2.093,0
2138,0.032249030993194226,2.0552,0,-3.5443,0.127,0,-2.125,0.123,0.0,-2.093,0
2139,0.02927456233660881,2.0554,0,-3.5442,0.127,0,-2.122,0.123,0.0,-2.093,0
2140,0.029154759474226417,2.0554,0,-3.5443,0.126,0,-2.122,0.123,0.0,-2.093,0
2141,0.03206243908376283,2.0554,0,-3.5441,0.125,0,-2.125,0.123,0.0,-2.093,0
2142,0.032140317359976425,2.0553,0,-3.5443,0.126,0,-2.125,0.123,0.0,-2.093,0
2143,0.0312569992161757,2.0554,0,-3.5443,0.127,0,-2.124,0.123,0.0,-2.093,0
2144,0.032249030993194226,2.0553,0,-3.5443,0.127,0,-2.125,0.123,0.0,-2.093,0
2145,0.031064449134018273,2.0554,0,-3.5443,0.125,0,-2.124,0.123,0.0,-2.093,0
2146,0.033060550509633,2.0554,0,-3.5443,0.125,0,-2.126,0.123,0.0,-2.093,0
2147,0.033060550509633,2.0554,0,-3.5443,0.125,0,-2.126,0.123,0.0,-2.093,0
2148,0.031064449134018273,2.0553,0,-3.5443,0.125,0,-2.124,0.123,0.0,-2.093,0
2149,0.033060550509633,2.0554,0,-3.5445,0.125,0,-2.125,0.123,0.0,-2.092,0
2150,0.030066592756746065,2.0553,0,-3.5443,0.125,0,-2.123,0.123,0.0,-2.093,0
2151,0.0331360830515617,2.0554,0,-3.5443,0.126,0,-2.126,0.123,0.0,-2.093,0
2152,0.0331360830515617,2.0554,0,-3.5444,0.126,0,-2.126,0.123,0.0,-2.093,0
2153,0.030066592756746065,2.0554,0,-3.5444,0.125,0,-2.123,0.123,0.0,-2.093,0
2154,0.03206243908376283,2.0554,0,-3.5444,0.125,0,-2.125,0.123,0.0,-2.093,0
2155,0.02816025568065747,2.0554,0,-3.5444,0.126,0,-2.121,0.123,0.0,-2.093,0
2156,0.028284271247461926,2.0553,0,-3.5443,0.127,0,-2.121,0.123,0.0,-2.093,0
2157,0.028071337695236422,2.0554,0,-3.5444,0.125,0,-2.121,0.123,0.0,-2.093,0
2158,0.031064449134018273,2.0554,0,-3.5443,0.125,0,-2.124,0.123,0.0,-2.093,0
2159,0.033060550509633,2.0555,0,-3.5443,0.125,0,-2.126,0.123,0.0,-2.093,0
2160,0.031064449134018273,2.0554,0,-3.5444,0.125,0,-2.124,0.123,0.0,-2.093,0
2161,0.0312569992161757,2.0554,0,-3.5444,0.127,0,-2.124,0.123,0.0,-2.093,0
2162,0.031144823004795014,2.0554,0,-3.5444,0.126,0,-2.124,0.123,0.0,-2.093,0
2163,0.031064449134018273,2.0554,0,-3.5445,0.125,0,-2.123,0.123,0.0,-2.092,0
2164,0.03206243908376283,2.0554,0,-3.5446,0.125,0,-2.124,0.123,0.0,-2.092,0
2165,0.028017851452243826,2.0554,0,-3.5444,0.124,0,-2.121,0.123,0.0,-2.093,0
2166,0.03436568055487898,2.0554,0,-3.5444,0.128,0,-2.127,0.123,0.0,-2.093,0
2167,0.03505709628591591,2.0554,0,-3.5445,0.125,0,-2.127,0.123,0.0,-2.092,0
2168,0.032140317359976425,2.0554,0,-3.5444,0.126,0,-2.125,0.123,0.0,-2.093,0
2169,0.031144823004795014,2.0555,0,-3.5445,0.126,0,-2.123,0.123,0.0,-2.092,0
2170,0.035227829907616776,2.0555,0,-3.5445,0.127,0,-2.127,0.123,0.0,-2.092,0
2171,0.031064449134018273,2.0555,0,-3.5446,0.125,0,-2.123,0.123,0.0,-2.092,0
2172,0.031064449134018273,2.0555,0,-3.5444,0.125,0,-2.124,0.123,0.0,-2.093,0
2173,0.030149626863362478,2.0555,0,-3.5446,0.126,0,-2.122,0.123,0.0,-2.092,0
2174,1.4920030160827424,2.0554,0,-3.5444,0.126,0,-0.601,0.123,0.0,-2.093,1
2175,1.3960032234919801,2.0555,0,-3.5444,0.126,0,-0.697,0.123,0.0,-2.093,1
2176,1.2790015637207017,2.0554,0,-3.5446,0.125,0,-0.813,0.123,0.0,-2.092,1
2177,1.2790035183688904,2.0555,0,-3.5446,0.126,0,-0.813,0.123,0.0,-2.092,1
2178,1.2230036794711618,2.0555,0,-3.5446,0.126,0,-0.869,0.123,0.0,-2.092,1
2179,1.1860037942603725,2.0554,0,-3.5445,0.126,0,-0.906,0.123,0.0,-2.092,1
2180,1.133007060878263,2.0555,0,-3.5446,0.127,0,-0.959,0.123,0.0,-2.092,1
2181,1.0750074418347066,2.0555,0,-3.5446,0.127,0,-1.017,0.123,0.0,-2.092,1
2182,1.0750041860383615,2.0555,0,-3.5446,0.126,0,-1.017,0.123,0.0,-2.092,1
2183,1.0070124130317362,2.0555,0,-3.5447,0.128,0,-1.085,0.123,0.0,-2.092,1
2184,1.0400120191613171,2.0555,0,-3.5446,0.128,0,-1.052,0.123,0.0,-2.092,1
2185,0.9660046583738613,2.0554,0,-3.5445,0.126,0,-1.126,0.123,0.0,-2.092,1
2186,0.8330096037861751,2.0555,0,-3.5446,0.127,0,-1.259,0.123,0.0,-2.092,1
2187,0.8330054021433476,2.0555,0,-3.5446,0.126,0,-1.259,0.123,0.0,-2.092,1
2188,0.7610105124109655,2.0556,0,-3.5447,0.127,0,-1.331,0.123,0.0,-2.092,1
2189,0.7180111419748304,2.0554,0,-3.5445,0.127,0,-1.374,0.123,0.0,-2.092,1
2190,0.6790066273608822,2.0556,0,-3.5447,0.126,0,-1.413,0.123,0.0,-2.092,1
2191,0.6370070643250355,2.0555,0,-3.5445,0.126,0,-1.455,0.123,0.0,-2.092,1
2192,0.637012558745901,2.0555,0,-3.5447,0.127,0,-1.455,0.123,0.0,-2.092,1
2193,0.5580143367333855,2.0555,0,-3.5446,0.127,0,-1.534,0.123,0.0,-2.092,1
2194,0.4430180583226829,2.0555,0,-3.5447,0.127,0,-1.649,0.123,0.0,-2.092,1
2195,0.034058772731852614,2.0556,0,-3.5446,0.125,0,-2.126,0.123,0.0,-2.092,0
2196,0.032140317359976425,2.0556,0,-3.5446,0.126,0,-2.124,0.123,0.0,-2.092,0
2197,0.03206243908376283,2.0554,0,-3.5447,0.125,0,-2.124,0.123,0.0,-2.092,0
