2025-04-01 17:28:07,709 - Timestamp, Before_X, Before_Y, Before_Z, Before_Yaw_Deg, After_X, After_Y, After_Z, After_Yaw_Deg
2025-04-01 17:38:41,339 - 2025-04-01T17:38:41.339753, 0.981930496622248, 0.0, -0.48302924000537706, 77.65468372126175, -21.524418319408035, -58.01156452711428, 0.0016000000400000006, 12.345316278738252
2025-04-01 17:38:41,358 - 2025-04-01T17:38:41.358238, 0.9796028276545719, 0.0, -0.481879476039635, 78.24748372161017, -21.601797612299933, -58.04698288022519, 0.0016000000400000006, 11.752516278389834
2025-04-01 17:38:41,380 - 2025-04-01T17:38:41.380580, 0.9780329218688442, 0.0, -0.4803350033710716, 78.74188372190302, -21.654730951815445, -58.09606753774278, 0.0016000000400000006, 11.258116278096978
2025-04-01 17:38:41,438 - 2025-04-01T17:38:41.438738, 0.9743082196749655, 0.0, -0.4795434267374401, 79.29678372223415, -21.777537243728624, -58.118397262987024, 0.0016000000400000006, 10.703216277765847
2025-04-01 17:38:42,219 - 2025-04-01T17:38:42.218977, 0.9795635983648312, 0.0, -0.47982802263708635, 79.94668372262544, -21.605069193512207, -58.114160776441864, 0.0016000000400000006, 10.053316277374563
2025-04-01 17:38:42,258 - 2025-04-01T17:38:42.258254, 0.9843133502802281, 0.0, -0.4799273037641476, 80.67998372307137, -21.449347429658708, -58.115506577269144, 0.0016000000400000006, 9.320016276928627
2025-04-01 17:38:42,299 - 2025-04-01T17:38:42.299891, 0.9902293702529699, 0.0, -0.47932671431859175, 81.67108372368189, -21.256090508807794, -58.14091282994321, 0.0016000000400000006, 8.328916276318111
2025-04-01 17:38:42,319 - 2025-04-01T17:38:42.319009, 0.993172230107251, 0.0, -0.47874398292415554, 82.25748372404742, -21.160231899932782, -58.162855326394585, 0.0016000000400000006, 7.742516275952581
2025-04-01 17:38:42,338 - 2025-04-01T17:38:42.338499, 0.9961378151596678, 0.0, -0.4785849065372081, 82.83378372440986, -21.063218513732068, -58.17093876767441, 0.0016000000400000006, 7.166216275590145
2025-04-01 17:38:42,358 - 2025-04-01T17:38:42.358108, 0.9998019168251853, 0.0, -0.4782467364842038, 83.49678372483079, -20.94349162802073, -58.18556652288762, 0.0016000000400000006, 6.503216275169208
2025-04-01 17:38:42,379 - 2025-04-01T17:38:42.379153, 1.002960391716233, 0.0, -0.4777232516586145, 84.10218372521899, -20.84051102867234, -58.20577656547325, 0.0016000000400000006, 5.8978162747810075
2025-04-01 17:38:42,398 - 2025-04-01T17:38:42.398412, 1.0063420567100922, 0.0, -0.4774002317377013, 84.76438372564786, -20.730023513075338, -58.219634469135976, 0.0016000000400000006, 5.2356162743521395
