Timestamp, Distance_2(Z), Distance_3(X), X, Y, Z, Roll, Yaw, Pitch, CalibrationMode, IsValid
1745404323.151, 2.062, 3.575, -0.4544, -1.1265, -4.5882, -0.7156, 36.5426, 92.2013, 0, 1
1745404323.231, 2.062, 3.576, -0.4544, -1.1265, -4.5882, -0.7169, 36.5421, 92.2013, 0, 1
1745404323.310, 2.063, 3.575, -0.4544, -1.1265, -4.5881, -0.7161, 36.5419, 92.1994, 0, 1
1745404323.390, 2.061, 3.575, -0.4544, -1.1265, -4.5881, -0.7157, 36.5426, 92.1999, 0, 1
1745404323.470, 2.061, 3.574, -0.4543, -1.1265, -4.5880, -0.7139, 36.5448, 92.1977, 0, 1
1745404323.549, 2.062, 3.574, -0.4543, -1.1264, -4.5880, -0.7093, 36.5449, 92.1906, 0, 1
1745404323.629, 2.062, 3.574, -0.4550, -1.1264, -4.5870, -0.7029, 36.5699, 92.1740, 0, 1
1745404323.708, 2.061, 3.575, -0.4571, -1.1264, -4.5842, -0.6888, 36.5540, 92.1517, 0, 1
1745404323.788, 2.061, 3.573, -0.4605, -1.1265, -4.5797, -0.6496, 36.5384, 92.1213, 0, 1
1745404323.868, 2.061, 3.572, -0.4647, -1.1267, -4.5744, -0.6028, 36.5171, 92.1010, 0, 1
1745404323.948, 2.060, 3.569, -0.4689, -1.1269, -4.5692, -0.5572, 36.5001, 92.0771, 0, 1
1745404324.027, 2.059, 3.562, -0.4723, -1.1271, -4.5649, -0.5128, 36.4561, 92.0602, 0, 1
1745404324.107, 2.061, 3.556, -0.4745, -1.1274, -4.5622, -0.4793, 36.4500, 92.0600, 0, 1
1745404324.186, 2.062, 3.552, -0.4761, -1.1274, -4.5601, -0.4564, 36.4386, 92.0534, 0, 1
1745404324.266, 2.062, 3.547, -0.4779, -1.1274, -4.5578, -0.4434, 36.4348, 92.0355, 0, 1
1745404324.346, 2.061, 3.543, -0.4804, -1.1275, -4.5545, -0.4517, 36.4199, 92.0632, 0, 1
1745404387.804, 2.060, 2.641, -1.0599, -1.1519, -3.8528, -0.3532, 43.8303, 91.2242, 0, 1
1745404387.884, 2.058, 2.633, -1.0654, -1.1519, -3.8472, -0.3116, 43.8291, 91.1825, 0, 1
1745404433.083, 2.063, 1.872, -1.6661, -1.1695, -3.2968, 0.3894, 26.6658, 91.3231, 0, 1
1745404448.196, 2.063, 3.912, -0.1913, -1.1016, -4.8674, -6.2222, 42.2414, 97.5822, 0, 1
1745404451.840, 2.063, 4.037, -0.1500, -1.1137, -4.9414, -0.2641, 40.9305, 92.1104, 0, 1
1745404452.158, 2.061, 4.037, -0.1498, -1.1138, -4.9418, -0.2151, 41.1222, 92.0275, 0, 1
1745404452.238, 2.059, 4.037, -0.1498, -1.1138, -4.9419, -0.1580, 41.1676, 91.9870, 0, 1
1745404457.335, 2.056, 4.037, -0.1498, -1.1140, -4.9425, -0.3456, 41.1228, 92.1627, 1, 1
1745404457.415, 2.057, 4.038, -0.1498, -1.1140, -4.9425, -0.3492, 41.1226, 92.1624, 1, 1
1745404457.494, 2.056, 4.038, -0.1499, -1.1140, -4.9424, -0.3512, 41.1226, 92.1633, 1, 1
1745404457.574, 2.056, 4.038, -0.1499, -1.1140, -4.9424, -0.3524, 41.1215, 92.1626, 1, 1
1745404457.654, 2.056, 4.038, -0.1498, -1.1140, -4.9425, -0.3540, 41.1200, 92.1622, 1, 1
1745404457.733, 2.056, 4.038, -0.1498, -1.1140, -4.9425, -0.3549, 41.1200, 92.1646, 1, 1
1745404457.813, 2.056, 4.037, -0.1499, -1.1140, -4.9425, -0.3561, 41.1202, 92.1671, 1, 1
1745404457.893, 2.056, 4.037, -0.1499, -1.1141, -4.9425, -0.3558, 41.1211, 92.1659, 1, 1
1745404457.972, 2.056, 4.037, -0.1498, -1.1141, -4.9425, -0.3582, 41.1228, 92.1674, 1, 1
1745404458.052, 2.056, 4.037, -0.1499, -1.1140, -4.9425, -0.3564, 41.1249, 92.1659, 1, 1
1745404458.132, 2.056, 4.037, -0.1499, -1.1140, -4.9425, -0.3522, 41.1271, 92.1603, 1, 1
1745404458.211, 2.057, 4.037, -0.1498, -1.1140, -4.9425, -0.3481, 41.1287, 92.1558, 1, 1
1745404458.291, 2.057, 4.037, -0.1498, -1.1140, -4.9425, -0.3448, 41.1290, 92.1540, 1, 1
1745404458.371, 2.057, 4.037, -0.1499, -1.1140, -4.9426, -0.3404, 41.1294, 92.1537, 1, 1
1745404458.450, 2.057, 4.038, -0.1499, -1.1140, -4.9425, -0.3401, 41.1302, 92.1564, 1, 1
1745404458.530, 2.057, 4.038, -0.1499, -1.1140, -4.9425, -0.3418, 41.1311, 92.1615, 1, 1
1745404458.610, 2.056, 4.038, -0.1499, -1.1140, -4.9425, -0.3438, 41.1322, 92.1662, 1, 1
1745404458.689, 2.056, 4.038, -0.1499, -1.1140, -4.9425, -0.3473, 41.1322, 92.1701, 1, 1
1745404458.769, 2.057, 4.038, -0.1499, -1.1140, -4.9424, -0.3501, 41.1317, 92.1738, 1, 1
1745404458.849, 2.057, 4.038, -0.1499, -1.1140, -4.9424, -0.3519, 41.1303, 92.1748, 1, 1
1745404458.928, 2.057, 4.038, -0.1499, -1.1140, -4.9424, -0.3535, 41.1301, 92.1744, 1, 1
1745404459.008, 2.057, 4.038, -0.1499, -1.1140, -4.9424, -0.3569, 41.1284, 92.1726, 1, 1
1745404459.087, 2.056, 4.038, -0.1499, -1.1140, -4.9425, -0.3597, 41.1290, 92.1722, 1, 1
1745404459.167, 2.056, 4.038, -0.1499, -1.1139, -4.9425, -0.3614, 41.1300, 92.1693, 1, 1
1745404459.247, 2.056, 4.038, -0.1499, -1.1140, -4.9425, -0.3652, 41.1316, 92.1687, 1, 1
1745404459.326, 2.056, 4.038, -0.1499, -1.1140, -4.9424, -0.3683, 41.1318, 92.1674, 1, 1
1745404459.406, 2.056, 4.037, -0.1499, -1.1140, -4.9424, -0.3698, 41.1340, 92.1656, 1, 1
