Timestamp,Distance_2(Z),Distance_3(X),X,Y,Z,Roll,Yaw,Pitch,CalibrationMode
1745404294.399,2.048,4.024,-0.1696,-1.1137,-4.9435,-0.2843,40.4218,91.8481,0
1745404294.478,2.048,4.024,-0.1696,-1.1137,-4.9435,-0.3191,40.4214,91.8841,0
1745404294.558,2.048,4.024,-0.1696,-1.1137,-4.9436,-0.3214,40.4205,91.8835,0
1745404294.638,2.047,4.024,-0.1696,-1.1137,-4.9435,-0.3177,40.4173,91.8809,0
1745404294.717,2.047,4.025,-0.1697,-1.1136,-4.9433,-0.3172,40.4201,91.8805,0
1745404294.797,2.048,4.025,-0.1696,-1.1137,-4.9433,-0.3149,40.4193,91.8817,0
1745404294.876,2.048,4.025,-0.1697,-1.1135,-4.9432,-0.3145,40.4128,91.8767,0
1745404294.956,2.048,4.025,-0.1695,-1.1137,-4.9434,-0.3017,40.4231,91.8595,0
1745404295.036,2.047,4.024,-0.1697,-1.1137,-4.9433,-0.3023,40.4195,91.8659,0
1745404295.115,2.048,4.024,-0.1696,-1.1135,-4.9432,-0.2958,40.4195,91.8633,0
1745404295.195,2.047,4.024,-0.1696,-1.1136,-4.9432,-0.2941,40.4166,91.8629,0
1745404295.275,2.047,4.024,-0.1695,-1.1137,-4.9433,-0.2878,40.4230,91.8571,0
1745404295.354,2.048,4.025,-0.1697,-1.1135,-4.9431,-0.2858,40.4203,91.8627,0
1745404295.434,2.048,4.024,-0.1697,-1.1136,-4.9432,-0.2950,40.4181,91.8676,0
1745404295.514,2.048,4.023,-0.1696,-1.1137,-4.9432,-0.2864,40.4225,91.8564,0
1745404295.593,2.048,4.023,-0.1696,-1.1136,-4.9432,-0.2810,40.4268,91.8581,0
1745404295.673,2.048,4.025,-0.1697,-1.1136,-4.9431,-0.2810,40.4241,91.8623,0
1745404295.753,2.048,4.023,-0.1696,-1.1135,-4.9430,-0.2888,40.4238,91.8702,0
1745404295.832,2.047,4.024,-0.1695,-1.1136,-4.9432,-0.2949,40.4285,91.8728,0
1745404295.912,2.047,4.024,-0.1697,-1.1135,-4.9430,-0.3037,40.4192,91.8881,0
1745404295.991,2.047,4.024,-0.1697,-1.1135,-4.9430,-0.3050,40.4244,91.8841,0
1745404296.071,2.047,4.025,-0.1696,-1.1137,-4.9432,-0.3069,40.4247,91.8772,0
1745404296.151,2.047,4.025,-0.1697,-1.1135,-4.9430,-0.3167,40.4219,91.8950,0
1745404296.230,2.048,4.025,-0.1695,-1.1136,-4.9429,-0.3204,40.4225,91.8788,0
1745404296.310,2.047,4.024,-0.1696,-1.1137,-4.9431,-0.3077,40.4186,91.8687,0
1745404296.390,2.048,4.024,-0.1696,-1.1136,-4.9431,-0.3055,40.4214,91.8714,0
1745404296.469,2.048,4.024,-0.1696,-1.1135,-4.9428,-0.3083,40.4263,91.8733,0
1745404296.549,2.048,4.024,-0.1696,-1.1136,-4.9430,-0.2973,40.4299,91.8590,0
1745404296.629,2.047,4.024,-0.1696,-1.1136,-4.9429,-0.3124,40.4300,91.8701,0
1745404296.708,2.049,4.023,-0.1696,-1.1137,-4.9430,-0.3044,40.4261,91.8627,0
1745404296.788,2.048,4.023,-0.1695,-1.1136,-4.9429,-0.3061,40.4301,91.8682,0
1745404296.868,2.048,4.023,-0.1696,-1.1136,-4.9430,-0.2978,40.4289,91.8602,0
1745404296.947,2.048,4.024,-0.1697,-1.1135,-4.9428,-0.3020,40.4335,91.8630,0
1745404297.027,2.049,4.023,-0.1696,-1.1135,-4.9428,-0.2993,40.4230,91.8650,0
1745404297.107,2.047,4.024,-0.1697,-1.1135,-4.9427,-0.2939,40.4254,91.8575,0
1745404297.186,2.048,4.024,-0.1697,-1.1137,-4.9431,-0.2812,40.4249,91.8396,0
1745404297.266,2.048,4.023,-0.1696,-1.1136,-4.9430,-0.2871,40.4196,91.8463,0
1745404297.345,2.048,4.025,-0.1695,-1.1136,-4.9429,-0.2832,40.4228,91.8461,0
1745404297.425,2.049,4.024,-0.1697,-1.1135,-4.9428,-0.2864,40.4139,91.8507,0
1745404297.505,2.048,4.025,-0.1696,-1.1135,-4.9428,-0.2895,40.4074,91.8523,0
1745404297.585,2.048,4.025,-0.1699,-1.1134,-4.9425,-0.3207,40.3601,91.7786,0
1745404297.664,2.048,4.023,-0.1757,-1.1140,-4.9359,-0.2763,40.3649,91.7659,0
1745404297.744,2.047,4.023,-0.1852,-1.1148,-4.9243,-0.4919,40.2755,91.8659,0
1745404297.823,2.047,4.017,-0.1956,-1.1153,-4.9124,-0.4860,40.2634,91.9306,0
1745404297.903,2.051,3.998,-0.2009,-1.1144,-4.9061,-0.5339,40.2715,91.9525,0
1745404297.983,2.051,3.998,-0.2010,-1.1146,-4.9065,-0.5047,40.2936,91.9223,0
1745404298.062,2.051,3.980,-0.1993,-1.1146,-4.9079,-0.5155,40.2959,91.9543,0
1745404298.142,2.052,3.979,-0.1976,-1.1147,-4.9099,-0.5276,40.2877,91.9223,0
1745404298.222,2.051,3.980,-0.1968,-1.1147,-4.9111,-0.5157,40.2810,91.9162,0
1745404298.301,2.052,3.984,-0.1986,-1.1147,-4.9090,-0.5318,40.3339,91.9051,0
1745404298.381,2.052,3.984,-0.2063,-1.1149,-4.9006,-0.4421,40.3091,91.8582,0
1745404298.460,2.052,3.983,-0.2155,-1.1155,-4.8904,-0.3227,40.3992,91.8878,0
1745404298.540,2.051,3.972,-0.2223,-1.1155,-4.8824,-0.3237,40.4132,91.9145,0
1745404298.620,2.047,3.954,-0.2240,-1.1156,-4.8805,-0.3855,40.3421,92.0035,0
1745404298.700,2.048,3.942,-0.2236,-1.1157,-4.8811,-0.3428,40.3535,91.9248,0
1745404301.069,2.048,3.915,-0.2418,-1.1166,-4.8605,-0.4691,40.1019,92.1992,0
1745404301.149,2.047,3.913,-0.2418,-1.1167,-4.8606,-0.4732,40.1018,92.1956,0
1745404301.228,2.047,3.912,-0.2418,-1.1167,-4.8605,-0.4786,40.0976,92.2029,0
1745404301.308,2.048,3.913,-0.2418,-1.1167,-4.8605,-0.4903,40.1000,92.2099,0
1745404301.388,2.047,3.913,-0.2419,-1.1166,-4.8605,-0.4907,40.1019,92.2133,0
1745404301.467,2.047,3.912,-0.2418,-1.1167,-4.8607,-0.4993,40.1033,92.2181,0
1745404301.549,2.048,3.911,-0.2418,-1.1167,-4.8605,-0.5005,40.1031,92.2189,0
1745404301.627,2.048,3.916,-0.2418,-1.1167,-4.8605,-0.4930,40.1040,92.2125,0
1745404301.706,2.047,3.912,-0.2420,-1.1167,-4.8605,-0.4817,40.0979,92.2046,0
1745404301.786,2.048,3.912,-0.2418,-1.1166,-4.8606,-0.4869,40.0992,92.2023,0
1745404301.865,2.048,3.915,-0.2418,-1.1168,-4.8607,-0.4947,40.0935,92.2114,0
1745404301.945,2.047,3.915,-0.2419,-1.1167,-4.8605,-0.4950,40.0974,92.2158,0
1745404302.025,2.048,3.912,-0.2418,-1.1168,-4.8606,-0.4911,40.0899,92.2077,0
1745404302.104,2.047,3.912,-0.2444,-1.1170,-4.8579,-0.3719,40.2961,92.0980,0
1745404302.184,2.046,3.912,-0.2519,-1.1175,-4.8485,-0.5200,39.9902,92.1668,0
1745404302.264,2.046,3.910,-0.2626,-1.1172,-4.8362,-0.5842,39.9458,92.1927,0
1745404302.343,2.051,3.903,-0.2701,-1.1193,-4.8279,-0.4937,39.9500,92.1724,0
1745404302.423,2.051,3.884,-0.2714,-1.1200,-4.8268,-0.4598,39.9268,92.1493,0
1745404302.503,2.049,3.869,-0.2708,-1.1184,-4.8270,-0.4497,39.9494,92.1350,0
1745404302.582,2.049,3.869,-0.2691,-1.1180,-4.8286,-0.4772,39.9110,92.1271,0
1745404302.662,2.049,3.867,-0.2680,-1.1179,-4.8297,-0.4904,39.8743,92.1286,0
1745404302.742,2.050,3.869,-0.2677,-1.1179,-4.8299,-0.5007,39.8807,92.1450,0
1745404302.821,2.049,3.874,-0.2675,-1.1180,-4.8303,-0.5111,39.8803,92.1472,0
1745404302.901,2.049,3.872,-0.2677,-1.1179,-4.8300,-0.5096,39.8726,92.1220,0
1745404302.981,2.050,3.872,-0.2721,-1.1181,-4.8248,-0.4903,39.9438,92.1797,0
1745404303.060,2.050,3.874,-0.2810,-1.1181,-4.8147,-0.4497,39.8471,92.1145,0
1745404303.140,2.049,3.868,-0.2899,-1.1183,-4.8042,-0.3615,39.8088,92.0466,0
